## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/outputfolder/insertsizes/K-562_is_histogram.pdf MINIMUM_PCT=0.5 INPUT=/outputfolder/mapping/K-562/K-562.bam OUTPUT=/outputfolder/insertsizes/K-562_is_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 08 18:37:12 UTC 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
365	203	193	4	1971908	535.589865	521.899197	42996779	FR	115	203	269	327	387	569	1839	3905	9203	16661	55209			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
4	1
5	1
6	3
7	9
8	7
9	8
10	255
11	272
12	265
13	172
14	150
15	146
16	147
17	162
18	133
19	163
20	129
21	129
22	138
23	112
24	124
25	124
26	88
27	109
28	89
29	120
30	119
31	66
32	64
33	90
34	113
35	277
36	239
37	287
38	240
39	306
40	308
41	389
42	282
43	317
44	361
45	412
46	351
47	386
48	417
49	381
50	409
51	368
52	413
53	452
54	385
55	394
56	453
57	384
58	395
59	422
60	432
61	485
62	483
63	514
64	511
65	587
66	471
67	491
68	483
69	474
70	555
71	590
72	588
73	625
74	695
75	623
76	656
77	721
78	787
79	814
80	734
81	776
82	846
83	919
84	949
85	1149
86	1136
87	1278
88	1337
89	1526
90	2177
91	1752
92	1773
93	1934
94	2017
95	2140
96	2146
97	2458
98	2828
99	3072
100	3223
101	3592
102	3927
103	4241
104	4484
105	5067
106	5544
107	6123
108	6749
109	7866
110	8219
111	8401
112	9523
113	10042
114	10834
115	12071
116	13092
117	13911
118	14959
119	16184
120	17458
121	18407
122	19936
123	20417
124	22925
125	23148
126	24361
127	25934
128	27518
129	29773
130	31296
131	33474
132	35433
133	36348
134	37578
135	38801
136	40938
137	42705
138	45486
139	47133
140	49451
141	51783
142	54576
143	57021
144	57737
145	59428
146	59693
147	62132
148	63277
149	66447
150	68290
151	70632
152	72966
153	75871
154	78131
155	79271
156	80683
157	82224
158	84256
159	86970
160	88403
161	89472
162	92962
163	94838
164	96890
165	98439
166	100150
167	101355
168	102208
169	103850
170	106699
171	108388
172	110108
173	113474
174	115796
175	117834
176	117071
177	118733
178	119460
179	120732
180	123286
181	123112
182	125812
183	125553
184	129498
185	130589
186	130415
187	132918
188	132760
189	131344
190	133765
191	134790
192	136550
193	137702
194	138178
195	139179
196	140014
197	139760
