## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/outputfolder/insertsizes/KASUMI-1_is_histogram.pdf MINIMUM_PCT=0.5 INPUT=/outputfolder/mapping/KASUMI-1/KASUMI-1.bam OUTPUT=/outputfolder/insertsizes/KASUMI-1_is_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 08 18:12:02 UTC 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
456	237	270	3	1118854	712.635163	732.336096	31479142	FR	195	311	393	463	541	835	2333	4773	11031	20697	69469			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
3	1
5	1
6	6
7	7
8	5
9	9
10	144
11	149
12	195
13	103
14	122
15	72
16	72
17	105
18	70
19	86
20	74
21	70
22	71
23	54
24	67
25	79
26	76
27	74
28	74
29	57
30	61
31	68
32	50
33	52
34	51
35	179
36	157
37	169
38	169
39	181
40	175
41	168
42	176
43	199
44	179
45	144
46	191
47	176
48	172
49	194
50	178
51	198
52	219
53	203
54	193
55	208
56	194
57	225
58	231
59	229
60	219
61	229
62	253
63	196
64	229
65	240
66	246
67	202
68	240
69	260
70	267
71	304
72	257
73	261
74	305
75	331
76	309
77	326
78	376
79	350
80	382
81	370
82	422
83	443
84	574
85	547
86	517
87	589
88	574
89	756
90	1231
91	807
92	781
93	927
94	938
95	1124
96	1094
97	1171
98	1351
99	1428
100	1710
101	1739
102	1797
103	2052
104	2258
105	2396
106	2704
107	2908
108	3246
109	3689
110	3981
111	4106
112	4537
113	4817
114	5036
115	5442
116	6384
117	6404
118	7183
119	7675
120	8352
121	8814
122	9230
123	9866
124	10081
125	11221
126	11455
127	12252
128	12896
129	14007
130	14762
131	15404
132	16262
133	16835
134	17598
135	17842
136	18949
137	19631
138	21067
139	21813
140	22290
141	23417
142	24225
143	25235
144	25719
145	26262
146	26982
147	27261
148	28249
149	29443
150	30523
151	31733
152	32390
153	33174
154	34227
155	34602
156	34716
157	35717
158	36365
159	37496
160	38249
161	39434
162	40244
163	41793
164	42242
165	42926
166	43284
167	43811
168	44794
169	45491
170	47318
171	47878
172	47864
173	50259
174	50858
175	51325
176	51709
177	52385
178	53386
179	54053
180	54627
181	55665
182	57057
183	57341
184	59583
185	60035
186	60208
187	61338
188	60415
189	61333
190	63199
191	64591
192	65856
193	65815
194	66923
195	68333
196	67370
197	67859
198	68946
199	69222
200	69451
201	70807
202	72095
