## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/outputfolder/insertsizes/NB-4_is_histogram.pdf MINIMUM_PCT=0.5 INPUT=/outputfolder/mapping/NB-4/NB-4.bam OUTPUT=/outputfolder/insertsizes/NB-4_is_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 12 16:20:55 UTC 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
427	200	265	5	1845398	672.808351	717.764692	42945759	FR	189	305	387	457	531	839	2395	5035	11493	21205	68997			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
5	1
6	3
7	14
8	5
9	9
10	237
11	280
12	239
13	166
14	163
15	129
16	142
17	178
18	120
19	202
20	92
21	112
22	119
23	107
24	96
25	84
26	80
27	110
28	88
29	87
30	91
31	99
32	62
33	115
34	135
35	280
36	274
37	306
38	296
39	325
40	278
41	326
42	268
43	363
44	307
45	297
46	337
47	344
48	342
49	358
50	340
51	306
52	354
53	373
54	363
55	394
56	396
57	401
58	412
59	449
60	485
61	386
62	432
63	460
64	406
65	433
66	457
67	499
68	498
69	512
70	569
71	543
72	559
73	587
74	659
75	644
76	768
77	750
78	765
79	857
80	925
81	982
82	1048
83	1175
84	1300
85	1524
86	1492
87	1674
88	1844
89	2013
90	2419
91	2525
92	2690
93	2922
94	3249
95	3516
96	3899
97	4252
98	4579
99	5229
100	5642
101	6441
102	6890
103	7666
104	8526
105	9074
106	10193
107	10970
108	11942
109	13028
110	14026
111	14912
112	16150
113	17582
114	18699
115	20187
116	21950
117	23168
118	24301
119	26165
120	27350
121	29159
122	30511
123	32116
124	33808
125	35809
126	37163
127	39871
128	40932
129	42550
130	43982
131	46120
132	47974
133	50042
134	51621
135	52999
136	55510
137	57523
138	59426
139	60879
140	62137
141	62894
142	64494
143	66290
144	68063
145	70607
146	72238
147	73882
148	75784
149	76781
150	77881
151	79762
152	81414
153	82092
154	83828
155	84885
156	86741
157	88473
158	89836
159	90951
160	91259
161	92849
162	93180
163	95102
164	95980
165	96775
166	97661
167	99326
168	99914
169	101506
170	103035
171	102252
172	103867
173	105371
174	105423
175	105901
176	106578
177	106705
178	107427
179	108699
180	110665
181	110519
182	111218
183	111834
184	112156
185	112629
186	112371
187	113441
188	112790
189	113649
190	114826
191	115400
192	115586
193	115712
194	115677
195	115633
196	115270
197	115363
198	115822
